order_id,cust_id,gender,age,date,status,channel,sku,category,size,quantity,currency,amount,ship_city,ship_pin_code,ship_country,b2b,month,year,revenue_bucket,cust_type
171-1029312-3038738,1029312,WOMEN,44,2022-12-04,DELIVERED,MYNTRA,JNE1233-BLUE-KR-031-XXL,KURTA,XXL,1,INR,376,MOHALI,140301,IN,0,DECEMBER,2022,LOW,CUSTOMER
405-2183842-2225946,2183842,WOMEN,29,2022-12-04,DELIVERED,AJIO,SET414-KR-NP-L,SET,L,1,INR,1449,GURUGRAM,122002,IN,0,DECEMBER,2022,HIGH,CUSTOMER
171-1641533-8921966,1641533,WOMEN,67,2022-12-04,DELIVERED,MYNTRA,SET261-KR-PP-S,SET,S,1,INR,453,KOLKATA,700029,IN,0,DECEMBER,2022,LOW,CUSTOMER
404-7490807-6300351,7490807,WOMEN,20,2022-12-04,DELIVERED,AMAZON,SET110-KR-PP-M,SET,M,1,INR,729,THANJAVUR,613007,IN,0,DECEMBER,2022,LOW,CUSTOMER
403-9293516-4577154,9293516,WOMEN,62,2022-12-04,DELIVERED,MYNTRA,JNE2294-KR-A-XXL,KURTA,XXL,1,INR,544,GURUGRAM,122001,IN,0,DECEMBER,2022,LOW,CUSTOMER
407-1298130-0368305,1298130,MEN,49,2022-12-04,DELIVERED,FLIPKART,JNE3797-KR-XXL,WESTERN DRESS,XXL,1,INR,735,SANGLI MIRAJ KUPWAD,416436,IN,0,DECEMBER,2022,LOW,CUSTOMER
171-5561216-3398711,5561216,WOMEN,70,2022-12-04,DELIVERED,OTHERS,JNE3405-KR-M,KURTA,M,1,INR,435,GURUGRAM,122001,IN,0,DECEMBER,2022,LOW,CUSTOMER
408-2935263-2935550,2935263,WOMEN,75,2022-12-04,DELIVERED,AMAZON,JNE3474-KR-E-XL,KURTA,XL,1,INR,385,BENGALURU,562149,IN,0,DECEMBER,2022,LOW,CUSTOMER
404-2648970-9042715,2648970,WOMEN,43,2022-12-04,DELIVERED,MYNTRA,JNE3466-KR-L,KURTA,L,1,INR,771,VIJAYAWADA,520002,IN,0,DECEMBER,2022,LOW,CUSTOMER
408-0265357-4939534,265357,WOMEN,18,2022-12-04,DELIVERED,AMAZON,SET217-KR-PP-XL,SET,XL,1,INR,786,GUWAHATI,781017,IN,0,DECEMBER,2022,LOW,CUSTOMER
403-9268874-7296313,9268874,MEN,44,2022-12-04,DELIVERED,MYNTRA,SET185-KR-NP-M,SET,M,1,INR,911,BENGALURU,562125,IN,0,DECEMBER,2022,LOW,CUSTOMER
407-0442660-2736366,442660,WOMEN,52,2022-12-04,DELIVERED,AMAZON,SET333-KR-DPT-M,SET,M,1,INR,967,HYDERABAD,500098,IN,0,DECEMBER,2022,LOW,CUSTOMER
406-7482261-1657136,7482261,WOMEN,18,2022-12-04,DELIVERED,NALLI,J0124-TP-L,TOP,L,1,INR,523,NEW DELHI,110062,IN,0,DECEMBER,2022,LOW,CUSTOMER
407-7039962-7080347,7039962,MEN,30,2022-12-04,DELIVERED,MEESHO,SET304-KR-DPT-XL,SET,XL,1,INR,1115,Bhubaneswar,751022,IN,0,DECEMBER,2022,HIGH,CUSTOMER
407-3422488-7373923,3422488,WOMEN,48,2022-12-04,DELIVERED,OTHERS,SET184-KR-PP-XS,SET,XS,1,INR,563,SIROHI,307001,IN,0,DECEMBER,2022,LOW,CUSTOMER
171-8974687-6745940,8974687,MEN,24,2022-12-04,DELIVERED,MYNTRA,J0161-DR-XXL,WESTERN DRESS,XXL,1,INR,473,MUMBAI,400097,IN,0,DECEMBER,2022,LOW,CUSTOMER
406-0244536-2177175,244536,WOMEN,46,2022-12-04,DELIVERED,AMAZON,SET233-KR-PP-M,SET,M,1,INR,545,AMRITSAR,143001,IN,0,DECEMBER,2022,LOW,CUSTOMER
404-4376789-3345166,4376789,WOMEN,43,2022-12-04,DELIVERED,NALLI,J0231-SKD-XXXL,SET,3XL,1,INR,1164,LUCKNOW,226024,IN,0,DECEMBER,2022,HIGH,CUSTOMER
408-1943310-9789160,1943310,MEN,31,2022-12-04,REFUNDED,MYNTRA,J0339-DR-XXL,WESTERN DRESS,XXL,1,INR,743,NEW DELHI,110087,IN,0,DECEMBER,2022,LOW,CUSTOMER
403-0950590-5005155,950590,MEN,30,2022-12-04,DELIVERED,MYNTRA,SET210-KR-PP-XXXL,SET,3XL,1,INR,575,MADURAI,625014,IN,0,DECEMBER,2022,LOW,CUSTOMER
406-3935670-5720350,3935670,WOMEN,19,2022-12-04,DELIVERED,AJIO,SET110-KR-PP-XS,SET,XS,1,INR,788,Meerut,250002,IN,0,DECEMBER,2022,LOW,CUSTOMER
402-0398999-0011565,398999,WOMEN,37,2022-12-04,DELIVERED,AMAZON,SET273-KR-NP-M,SET,M,1,INR,612,HYDERABAD,500060,IN,0,DECEMBER,2022,LOW,CUSTOMER
403-5438780-7231546,5438780,WOMEN,37,2022-12-04,DELIVERED,OTHERS,MEN5025-KR-XXL,KURTA,XXL,1,INR,533,INDORE,452014,IN,0,DECEMBER,2022,LOW,CUSTOMER
406-8343960-8137102,8343960,WOMEN,62,2022-12-04,DELIVERED,FLIPKART,JNE3690-TU-XL,TOP,XL,1,INR,484,DAVANAGERE,577004,IN,0,DECEMBER,2022,LOW,CUSTOMER
406-0986513-0498758,986513,MEN,20,2022-12-04,DELIVERED,FLIPKART,SET184-KR-PP-XXXL,SET,3XL,1,INR,563,RUDRAPUR,263153,IN,0,DECEMBER,2022,LOW,CUSTOMER
406-0947452-6044339,947452,MEN,77,2022-12-04,DELIVERED,FLIPKART,JNE3797-KR-XXL,WESTERN DRESS,XXL,1,INR,735,CHENNAI,600103,IN,0,DECEMBER,2022,LOW,CUSTOMER
406-1326018-3426760,1326018,MEN,26,2022-12-04,DELIVERED,AMAZON,SET183-KR-DH-XS,SET,XS,1,INR,759,PRAYAGRAJ,230304,IN,0,DECEMBER,2022,LOW,CUSTOMER
406-9281717-2212317,9281717,MEN,40,2022-12-04,DELIVERED,AMAZON,JNE3797-KR-XXL,WESTERN DRESS,XXL,1,INR,715,GREAT NICOBAR,744302,IN,0,DECEMBER,2022,LOW,CUSTOMER
408-6866119-6793128,6866119,MEN,52,2022-12-04,DELIVERED,AMAZON,J0414-DR-XXL,WESTERN DRESS,XXL,1,INR,885,AHMEDABAD,380058,IN,0,DECEMBER,2022,LOW,CUSTOMER
403-9400852-1350710,9400852,WOMEN,38,2022-12-04,DELIVERED,OTHERS,JNE3601-KR-M,KURTA,M,1,INR,301,SALEM,636007,IN,0,DECEMBER,2022,LOW,CUSTOMER
408-2606836-0473931,2606836,MEN,39,2022-12-04,DELIVERED,MYNTRA,J0231-SKD-XL,SET,XL,1,INR,1238,GUWAHATI,781020,IN,0,DECEMBER,2022,HIGH,CUSTOMER
405-8481179-1130753,8481179,MEN,37,2022-12-04,DELIVERED,AMAZON,SET320-KR-NP-S,SET,S,1,INR,856,CHENNAI,600119,IN,0,DECEMBER,2022,LOW,CUSTOMER
406-9686095-5057139,9686095,WOMEN,73,2022-12-04,DELIVERED,FLIPKART,J0351-SET-L,SET,L,1,INR,650,VADODARA,390021,IN,0,DECEMBER,2022,LOW,CUSTOMER
404-9033015-7527503,9033015,WOMEN,41,2022-12-04,DELIVERED,AMAZON,JNE3368-KR-XL,KURTA,XL,1,INR,449,Payyannur,670309,IN,0,DECEMBER,2022,LOW,CUSTOMER
402-6932218-7744338,6932218,WOMEN,41,2022-12-04,DELIVERED,MYNTRA,SET333-KR-DPT-XS,SET,XS,1,INR,967,CHANDIGARH,160036,IN,0,DECEMBER,2022,LOW,CUSTOMER
408-8796291-5026713,8796291,WOMEN,35,2022-12-04,DELIVERED,AMAZON,JNE3423-KR-XL,KURTA,XL,1,INR,399,GURUGRAM,122001,IN,0,DECEMBER,2022,LOW,CUSTOMER
407-9654105-3225150,9654105,WOMEN,72,2022-12-04,DELIVERED,FLIPKART,J0230-SKD-M,SET,M,1,INR,969,MOHALI,160062,IN,0,DECEMBER,2022,LOW,CUSTOMER
402-0637532-2672317,637532,MEN,39,2022-12-04,DELIVERED,FLIPKART,J0159-DR-L,WESTERN DRESS,L,1,INR,599,BENGALURU,560061,IN,0,DECEMBER,2022,LOW,CUSTOMER
404-3393819-5081930,3393819,WOMEN,44,2022-12-04,DELIVERED,MYNTRA,SET397-KR-NP-XS,SET,XS,1,INR,1115,PUNE,412207,IN,0,DECEMBER,2022,HIGH,CUSTOMER
406-5673590-1054739,5673590,WOMEN,22,2022-12-04,DELIVERED,MEESHO,SET389-KR-NP-XL,SET,XL,1,INR,648,SONIPAT,131001,IN,0,DECEMBER,2022,LOW,CUSTOMER
403-5846829-5098742,5846829,WOMEN,64,2022-12-04,DELIVERED,FLIPKART,J0248-KR-DPT-S,SET,S,1,INR,999,NELLORE,524002,IN,0,DECEMBER,2022,LOW,CUSTOMER
171-4087298-3807569,4087298,WOMEN,30,2022-12-04,DELIVERED,AMAZON,NW001-TP-PJ-XXL,SET,XXL,1,INR,563,TIRUCHIRAPPALLI,620101,IN,0,DECEMBER,2022,LOW,CUSTOMER
408-7694743-7590732,7694743,WOMEN,46,2022-12-04,DELIVERED,MYNTRA,J0092-SET-S,SET,S,1,INR,833,BENGALURU,562107,IN,0,DECEMBER,2022,LOW,CUSTOMER
406-8068610-1108329,8068610,WOMEN,48,2022-12-04,DELIVERED,NALLI,JNE3770-KR-S,KURTA,S,1,INR,487,PUNE,411014,IN,0,DECEMBER,2022,LOW,CUSTOMER
171-7917674-9759550,7917674,WOMEN,25,2022-12-04,DELIVERED,MYNTRA,JNE3703-KR-M,KURTA,M,1,INR,292,VARANASI,221010,IN,0,DECEMBER,2022,LOW,CUSTOMER
406-2709798-4585159,2709798,MEN,35,2022-12-04,DELIVERED,OTHERS,SET210-KR-PP-M,SET,M,1,INR,558,UDUPI,574118,IN,0,DECEMBER,2022,LOW,CUSTOMER
405-4213846-6141157,4213846,WOMEN,27,2022-12-04,DELIVERED,AMAZON,J0003-SET-M,SET,M,1,INR,664,HYDERABAD,500039,IN,0,DECEMBER,2022,LOW,CUSTOMER
407-7381557-9088310,7381557,WOMEN,21,2022-12-04,DELIVERED,OTHERS,J0230-SKD-M,SET,M,1,INR,1112,Allahabad,211001,IN,0,DECEMBER,2022,HIGH,CUSTOMER
403-0817885-3061963,817885,WOMEN,43,2022-12-04,DELIVERED,OTHERS,J0113-TP-S,TOP,S,1,INR,540,SOUTH DELHI,110017,IN,0,DECEMBER,2022,LOW,CUSTOMER
171-2439278-5433152,2439278,MEN,39,2022-12-04,DELIVERED,MYNTRA,SET268-KR-NP-XS,SET,XS,1,INR,698,KHALILABAD,272175,IN,0,DECEMBER,2022,LOW,CUSTOMER
405-8874360-4913961,8874360,MEN,23,2022-12-04,DELIVERED,OTHERS,J0004-SKD-XXL,SET,XXL,1,INR,1115,NEW DELHI,110016,IN,0,DECEMBER,2022,HIGH,CUSTOMER
408-4675134-5301129,4675134,WOMEN,58,2022-12-04,DELIVERED,MEESHO,SET209-KR-PP-XXL,SET,XXL,1,INR,507,HYDERABAD,500008,IN,0,DECEMBER,2022,LOW,CUSTOMER
402-9907523-6175562,9907523,MEN,27,2022-12-04,DELIVERED,AMAZON,SET343-KR-NP-XS,SET,XS,1,INR,916,SULTANPUR,228001,IN,0,DECEMBER,2022,LOW,CUSTOMER
407-7643005-7856329,7643005,MEN,75,2022-12-04,DELIVERED,FLIPKART,SET402-KR-NP-XXXL,SET,3XL,1,INR,988,MUMBAI,400063,IN,0,DECEMBER,2022,LOW,CUSTOMER
407-0381223-7065145,381223,MEN,47,2022-12-04,DELIVERED,MEESHO,J0095-SET-XL,SET,XL,1,INR,633,CHENNAI,600066,IN,0,DECEMBER,2022,LOW,CUSTOMER
407-8538186-6616316,8538186,WOMEN,62,2022-12-04,DELIVERED,AMAZON,SET348-KR-NP-M,SET,M,1,INR,899,MAHENDRAGARH,123029,IN,0,DECEMBER,2022,LOW,CUSTOMER
403-1785530-0119510,1785530,WOMEN,42,2022-12-04,DELIVERED,AMAZON,PJNE2100-KR-N-6XL,KURTA,6XL,1,INR,764,BENGALURU,560103,IN,0,DECEMBER,2022,LOW,CUSTOMER
403-0824767-1871567,824767,WOMEN,34,2022-12-04,DELIVERED,OTHERS,MEN5004-KR-XXXL,KURTA,3XL,1,INR,688,CHENNAI,600061,IN,0,DECEMBER,2022,LOW,CUSTOMER
404-8169153-4411563,8169153,WOMEN,20,2022-12-04,DELIVERED,AMAZON,JNE3567-KR-L,KURTA,L,1,INR,399,Bangalore,560054,IN,0,DECEMBER,2022,LOW,CUSTOMER
406-5169174-3536336,5169174,WOMEN,44,2022-12-04,CANCELLED,MYNTRA,JNE3568-KR-XL,KURTA,XL,1,INR,399,KALYAN,421306,IN,0,DECEMBER,2022,LOW,CUSTOMER
402-2130722-4734768,2130722,WOMEN,24,2022-12-04,DELIVERED,MYNTRA,J0090-TP-S,TOP,S,1,INR,563,AHMEDABAD,382470,IN,0,DECEMBER,2022,LOW,CUSTOMER
404-8399604-8880365,8399604,WOMEN,31,2022-12-04,DELIVERED,AMAZON,JNE3461-KR-XL,KURTA,XL,1,INR,363,KOLKATA,700028,IN,0,DECEMBER,2022,LOW,CUSTOMER
403-8213196-3804353,8213196,MEN,75,2022-12-04,DELIVERED,MYNTRA,SET218-KR-NP-S,SET,S,1,INR,667,BOKARO STEEL CITY,827001,IN,0,DECEMBER,2022,LOW,CUSTOMER
408-3286680-0659521,3286680,WOMEN,46,2022-12-04,DELIVERED,MYNTRA,SAR006,SAREE,Free,1,INR,685,Panchkula,134116,IN,0,DECEMBER,2022,LOW,CUSTOMER
403-6014983-8111514,6014983,MEN,48,2022-12-04,DELIVERED,MYNTRA,SET272-KR-PP-S,SET,S,1,INR,852,PUNE,411021,IN,0,DECEMBER,2022,LOW,CUSTOMER
403-6950860-5590722,6950860,WOMEN,26,2022-12-04,DELIVERED,AMAZON,SAR018,SAREE,Free,1,INR,1075,PATNA,801113,IN,0,DECEMBER,2022,HIGH,CUSTOMER
406-7030051-2742704,7030051,WOMEN,36,2022-12-04,DELIVERED,MYNTRA,J0094-KR-XXL,KURTA,XXL,1,INR,563,NEW DELHI,110084,IN,0,DECEMBER,2022,LOW,CUSTOMER
404-6041386-2803516,6041386,MEN,23,2022-12-04,DELIVERED,FLIPKART,J0283-SET-XXL,SET,XXL,1,INR,1072,KALYAN,421201,IN,0,DECEMBER,2022,HIGH,CUSTOMER
404-7958450-6860328,7958450,MEN,32,2022-12-04,DELIVERED,AMAZON,SET339-KR-NP-XS,SET,XS,1,INR,702,Bengaluru,560095,IN,0,DECEMBER,2022,LOW,CUSTOMER
408-7814128-2203552,7814128,WOMEN,26,2022-12-04,DELIVERED,NALLI,SAR003,SAREE,Free,1,INR,476,NAVI MUMBAI,400705,IN,0,DECEMBER,2022,LOW,CUSTOMER
403-9793483-6877106,9793483,MEN,45,2022-12-04,DELIVERED,MYNTRA,SET324-KR-NP-XL,SET,XL,1,INR,597,BENGALURU,560021,IN,0,DECEMBER,2022,LOW,CUSTOMER
402-5297818-3665137,5297818,WOMEN,49,2022-12-04,DELIVERED,FLIPKART,SET403-KR-NP-XL,SET,XL,1,INR,969,VARKALA,695141,IN,0,DECEMBER,2022,LOW,CUSTOMER
171-2070545-3786767,2070545,WOMEN,21,2022-12-04,DELIVERED,FLIPKART,J0349-SET-XS,SET,XS,1,INR,801,BIKANER,334001,IN,0,DECEMBER,2022,LOW,CUSTOMER
406-1756314-4546723,1756314,WOMEN,39,2022-12-04,DELIVERED,MYNTRA,JNE3560-KR-XL,KURTA,XL,1,INR,481,GURUGRAM,122001,IN,0,DECEMBER,2022,LOW,CUSTOMER
